date,n,dead,removed,dead_rate,removed_rate
2024-12-13,12845,2186,2159,0.17018295056442195,0.1680809653561697
2024-12-20,10918,1315,1300,0.12044330463454846,0.11906942663491482
2024-12-27,9038,1160,1145,0.12834697942022572,0.12668732020358486
2025-01-03,9088,1209,1196,0.13303257042253522,0.13160211267605634
2025-01-10,12087,1505,1484,0.12451394059733598,0.12277653677504757
2025-01-17,12978,1719,1696,0.13245492371705964,0.1306826937894899
2025-01-24,15864,3005,2980,0.18942259203227432,0.18784669692385275
2025-01-31,17800,3016,2989,0.169438202247191,0.16792134831460676
2025-02-07,21899,3371,3301,0.1539339695876524,0.1507374765971049
2025-02-14,22044,4260,4223,0.19324986390854654,0.19157140264924696
2025-02-21,27284,6356,6309,0.23295704442163906,0.23123442310511655
2025-02-28,19234,3627,3576,0.18857231985026515,0.18592076531142768
2025-03-07,34111,7997,7924,0.2344405030635279,0.23230043094602915
2025-03-14,33075,7282,7189,0.22016628873771732,0.21735449735449736
2025-03-21,19014,3759,3711,0.19769643420637426,0.19517197854212687
2025-03-28,24955,4869,4816,0.19511120016028852,0.1929873772791024
2025-04-04,34623,6840,6778,0.1975565375617364,0.19576582040839904
2025-04-11,38615,8287,8225,0.21460572316457335,0.2130001294833614
2025-04-18,23974,5352,5319,0.22324184533244348,0.22186535413364478
2025-04-25,19745,4821,4789,0.2441630792605723,0.24254241580146874
2025-05-02,22925,4749,4710,0.2071537622682661,0.2054525627044711
2025-05-09,18284,3226,3180,0.1764384161015095,0.17392255523955372
2025-05-16,15877,2937,2895,0.18498456887321282,0.18233923285255402
2025-05-23,18218,3361,3335,0.18448786914041057,0.18306070918871445
2025-05-30,13800,2193,2169,0.15891304347826088,0.15717391304347825
2025-06-06,12782,2444,2422,0.1912063839774683,0.18948521358159912
2025-06-13,13133,2175,2164,0.1656133404401127,0.16477575572984085
2025-06-20,10011,1585,1577,0.1583258415742683,0.15752672060733194
2025-06-27,12054,1810,1793,0.15015762402521984,0.1487473037995686
2025-07-04,13290,2226,2192,0.16749435665914222,0.16493604213694507
2025-07-11,15553,2722,2686,0.17501446666238024,0.17269980068154053
2025-07-18,11531,1875,1853,0.16260515133119416,0.16069725088890816
2025-07-25,15194,2413,2391,0.15881268921942873,0.1573647492431223
2025-08-01,15655,2793,2765,0.17840945384861068,0.17662088789524114
2025-08-08,16058,2864,2845,0.17835346867604931,0.17717025781541912
2025-08-15,18531,3278,3238,0.1768927742701419,0.17473422912956668
2025-08-22,15536,2104,2077,0.13542739443872295,0.13368949536560248
2025-08-29,18526,2832,2799,0.15286624203821655,0.1510849616754831
2025-09-05,14685,2652,2626,0.18059244126659857,0.1788219271365339
2025-09-12,15443,2574,2542,0.16667745904293207,0.16460532279997409
2025-09-19,13203,2311,2301,0.1750359766719685,0.17427857305157918
2025-09-26,15899,2500,2473,0.15724259387382855,0.1555443738599912
2025-10-03,12643,2178,2162,0.1722692398955944,0.17100371747211895
2025-10-10,12179,2377,2354,0.19517201740701207,0.1932835208145168
2025-10-17,15945,2751,2725,0.17253057384760112,0.17089996864220758
2025-10-24,12988,2242,2217,0.1726208808130582,0.17069602710194026
2025-10-31,15073,2525,2499,0.16751807868373914,0.16579314005174817
2025-11-07,12875,2153,2113,0.1672233009708738,0.16411650485436893
2025-11-14,18133,3254,3228,0.17945182815860586,0.1780179782716594
2025-11-21,12381,2448,2427,0.19772231645262903,0.19602616913011872
2025-11-28,13016,1884,1866,0.14474492931776275,0.1433620159803319
